iter	MultiClass
148	0.6763868683
149	0.6761472963
150	0.6759580008
151	0.6757455394
152	0.675558872
153	0.6754038415
154	0.6749833111
155	0.674821817
156	0.6746582254
157	0.674464647
158	0.6742495442
159	0.6740672318
160	0.6738145496
161	0.6734996685
162	0.6733102115
163	0.6731509249
164	0.6729594153
165	0.672733498
166	0.6724320664
167	0.672201488
168	0.6719263944
169	0.6717783466
170	0.6714210703
171	0.6712313053
172	0.6710563959
173	0.6707326909
174	0.6706041027
175	0.6703783169
176	0.6701386019
177	0.6698874076
178	0.6697372009
179	0.669524508
180	0.6691295843
181	0.6688533944
182	0.6686413064
183	0.6684850751
184	0.6682248432
185	0.6680785775
186	0.6678793185
187	0.6676960529
188	0.6673374771
189	0.6671244554
190	0.6670245292
191	0.6668869082
192	0.6665555883
193	0.6663882198
194	0.666228178
195	0.6659618524
196	0.665764649
197	0.665599263
198	0.6654621163
199	0.6652166119
200	0.6649790891
201	0.6648404432
202	0.6646042974
203	0.664291989
204	0.6641795103
205	0.6638774304
206	0.6637381283
207	0.6634592322
208	0.6633145083
209	0.6630408011
210	0.6628916984
211	0.6626475883
212	0.6623321873
213	0.6619765021
214	0.6617265743
215	0.6614976255
216	0.6611822687
217	0.66103313
218	0.6608577557
219	0.6605112997
220	0.6602333454
221	0.6600316791
222	0.659860435
223	0.6594931069
224	0.6592631692
225	0.6590875362
226	0.6588861702
227	0.6586027494
228	0.6584831847
229	0.6583279513
230	0.6581066606
231	0.6579844177
232	0.657810649
233	0.6576752046
234	0.6574980638
235	0.6573718194
236	0.6572513547
237	0.6569867833
238	0.6568241473
239	0.6567074488
240	0.656587205
241	0.6564003048
242	0.6561821602
243	0.6559062582
244	0.6557040102
245	0.6554527416
246	0.6552418478
247	0.6550999942
248	0.65490655
249	0.6547690096
250	0.6546195408
251	0.6545017007
252	0.6543714618
253	0.6541657035
254	0.6540370413
255	0.653944379
256	0.65373732
257	0.6535729329
258	0.6533272194
259	0.6531607508
260	0.6530583708
261	0.6529763049
262	0.6527518988
263	0.6527344261
264	0.6525347622
265	0.6524263645
266	0.6522183418
267	0.6520956213
268	0.651952602
269	0.6518382242
270	0.651725285
271	0.6516455596
272	0.6515184674
273	0.6513869522
274	0.6512608453
275	0.6510895992
276	0.6509719076
277	0.6508951497
278	0.6507397587
279	0.6506382898
280	0.6504240903
281	0.6502946806
282	0.6499733092
283	0.6498336978
284	0.649567978
285	0.6494045921
286	0.6491489812
287	0.6490200519
288	0.6487259971
289	0.6485754726
290	0.648389347
291	0.648322719
292	0.6482325332
293	0.6479611605
294	0.6477818769
295	0.6476083281
296	0.6474013058
297	0.6472763137
298	0.6470655203
299	0.6468972896
300	0.646763395
301	0.6466310711
302	0.6464339659
303	0.6463548054
304	0.6462402546
305	0.6460739256
306	0.6459441152
307	0.6457561191
308	0.6455139724
309	0.6453732971
310	0.6452196719
311	0.6450185689
312	0.6449165284
313	0.6447863638
314	0.644678174
315	0.6445096251
316	0.6444334699
317	0.6441988286
318	0.6440293874
319	0.6439608412
320	0.6436624566
321	0.6435291039
322	0.643333627
323	0.6432398217
324	0.6431413988
325	0.6429891142
326	0.6428628064
327	0.6427102764
328	0.6425917813
329	0.6425000146
330	0.6422572956
331	0.6420903588
332	0.6419587525
333	0.6417692674
334	0.6415174839
335	0.641278499
336	0.6411732141
337	0.6410223354
338	0.6407977203
339	0.6406861483
340	0.6406168378
341	0.6405045007
342	0.6404075576
343	0.6402702073
344	0.640166091
345	0.6400415782
346	0.6398470905
347	0.6397329702
348	0.6396224459
349	0.6395206523
350	0.6393023193
351	0.6391854048
352	0.6389787053
353	0.6387710532
354	0.6384910873
355	0.6383382851
356	0.6382707262
357	0.6380907249
358	0.6379628239
359	0.6378282562
360	0.6376843093
361	0.6374810037
362	0.6372244021
363	0.6370895503
364	0.6369660153
365	0.6369039287
366	0.6367506731
367	0.6366281146
368	0.636421027
369	0.6363037992
370	0.6360869104
371	0.635834037
372	0.6356813883
373	0.6355655666
374	0.6353886185
375	0.6352179351
376	0.6350360292
377	0.6348286919
378	0.6346921316
379	0.6345628829
380	0.6344079894
381	0.6342486858
382	0.6340244699
383	0.6338620867
384	0.6336105666
385	0.6333778346
386	0.6331443133
387	0.6329959414
388	0.6328475291
389	0.6326884353
390	0.6326183548
391	0.6324755576
392	0.6322773782
393	0.6320569832
394	0.6319394683
395	0.6317827832
396	0.6317105141
397	0.6314626172
398	0.631309838
399	0.6311162026
400	0.6309421157
401	0.6307869365
402	0.6306531338
403	0.6304839086
404	0.6303453289
405	0.6302768194
406	0.6300847204
407	0.6299223579
408	0.6297679527
409	0.6296527217
410	0.6295345057
411	0.6294714172
412	0.6293556811
413	0.6291990732
414	0.6290332005
415	0.6288928649
416	0.6287385983
417	0.6286109017
418	0.6285086844
419	0.6284377657
420	0.6283124439
421	0.6281944215
422	0.6280857905
423	0.6279372712
424	0.6278591068
425	0.6277277466
426	0.6276126416
427	0.6275065324
428	0.6274351523
429	0.6273396364
430	0.6272083333
431	0.6271289789
432	0.6270110392
433	0.6268647734
434	0.6267823311
435	0.6266282359
436	0.6264774105
437	0.6263669863
438	0.6262681665
439	0.6261147595
440	0.6259793039
441	0.6259322646
442	0.6257315942
443	0.6255906316
444	0.6254480297
445	0.6253351588
446	0.6252044106
447	0.6251470462
448	0.6250365542
449	0.6249525615
450	0.6248877191
451	0.6246734819
452	0.6245732565
453	0.6244558366
454	0.6242922274
455	0.6241601323
456	0.6239603908
457	0.6238071902
458	0.6237077733
459	0.6235748594
460	0.6234661143
461	0.6233879118
462	0.623261232
463	0.6231440621
464	0.6230251141
465	0.6229478187
466	0.6228303742
467	0.622716004
468	0.6225514711
469	0.6224686893
470	0.6223196532
471	0.6220891117
472	0.6220317205
473	0.6218540988
474	0.6217607967
475	0.6215850209
476	0.6213637588
477	0.6212374375
478	0.621142863
479	0.6210607467
480	0.6209172283
481	0.6207560701
482	0.6206131834
483	0.6204450565
484	0.6203513851
485	0.6202324579
486	0.6201924859
487	0.6200594502
488	0.619840039
489	0.6197731227
490	0.6196225416
491	0.6194766303
492	0.619320996
493	0.6191480234
494	0.6190225382
495	0.6189037551
496	0.6187988613
497	0.6186379246
498	0.6185397153
499	0.6184141391
500	0.6183265424
501	0.6182422519
502	0.618070185
503	0.6179818711
504	0.617936827
505	0.6178417454
506	0.6176890346
507	0.6175458901
508	0.6173900586
509	0.6173021196
510	0.6171346078
511	0.6170322027
512	0.6169355713
513	0.6168119877
514	0.6167178113
515	0.6166271688
516	0.6164935677
517	0.616394439
518	0.6163230733
519	0.6162140319
520	0.6161005535
521	0.6159996122
522	0.61589925
523	0.615702011
524	0.6155067481
525	0.6153637717
526	0.6152539509
527	0.6151050358
528	0.6150183565
529	0.6148516832
530	0.6147598441
531	0.6146043993
532	0.6144608857
533	0.6143458884
534	0.6141324941
535	0.6140056673
536	0.6139398661
537	0.6137894588
538	0.6135351071
539	0.6134367373
540	0.6133148888
541	0.6131753919
542	0.6130519997
543	0.6129498926
544	0.6128816557
545	0.6127537471
546	0.6125382839
547	0.6123558082
548	0.6122114921
549	0.6120812788
550	0.6119556892
551	0.6117583131
552	0.6116548775
553	0.6114844252
554	0.6113754152
555	0.6112103653
556	0.611096653
557	0.6109268484
558	0.6108773658
559	0.6108427576
560	0.6106072627
561	0.6105122681
562	0.6103785931
563	0.6102851117
564	0.6101764023
565	0.6100798344
566	0.6098865984
567	0.6097375914
568	0.6096511813
569	0.6094807451
570	0.6092316308
571	0.6091369633
572	0.6090643808
573	0.608891074
574	0.6087908379
575	0.6087365958
576	0.6086002889
577	0.6084664194
578	0.6083326721
579	0.6081778839
580	0.6079503543
581	0.6078654741
582	0.6077492056
583	0.6076386294
584	0.6073917659
585	0.607280858
586	0.6071997616
587	0.6071182085
588	0.6069553731
589	0.6066863643
590	0.6065569574
591	0.6063472799
592	0.6062357585
593	0.6061521616
594	0.6060058964
595	0.6059095029
596	0.6058495446
597	0.6057281873
598	0.6056541534
599	0.6055426508
600	0.6053315809
601	0.6051872662
602	0.6051013889
603	0.6048422866
604	0.6047738646
605	0.6047036114
606	0.6045201854
607	0.604449907
608	0.604404472
609	0.6042885036
610	0.604206618
611	0.6040860534
612	0.6039589053
613	0.6038193775
614	0.6037273066
615	0.6035731165
616	0.6034270967
617	0.6033306087
618	0.6032651344
619	0.6030770208
620	0.6029589845
621	0.6028499758
622	0.6027501593
623	0.6026374019
624	0.602534234
625	0.6024049624
626	0.6022335306
627	0.6021182552
628	0.6020082911
629	0.6018652587
630	0.6017225601
631	0.6016144079
632	0.601472422
633	0.6013571187
634	0.6012591742
635	0.6010847659
636	0.6009857014
637	0.6008787108
638	0.6007055567
639	0.6006277462
640	0.6005390101
641	0.6004249214
642	0.6003276716
643	0.6001854429
644	0.6001362706
645	0.6000274999
646	0.5998814746
647	0.5997712881
648	0.5996939934
649	0.5995710281
650	0.5994736377
651	0.599275521
652	0.5990730046
653	0.5989715669
654	0.5988302938
655	0.5987863215
656	0.5986314304
657	0.5985508297
658	0.598327115
659	0.5982139442
660	0.5981186963
661	0.5980499261
662	0.5979713192
663	0.5978327454
664	0.5977641836
665	0.597648715
666	0.59758432
667	0.5974774803
668	0.5973247169
669	0.59721912
670	0.5970364166
671	0.5969357328
672	0.5967810831
673	0.5966308784
674	0.596540505
675	0.596470366
676	0.5963281368
677	0.5961522547
678	0.5960223555
679	0.5959395199
680	0.5957765128
681	0.5956146515
682	0.5954827318
683	0.5953871643
684	0.5953584315
685	0.5952166383
686	0.5950566311
687	0.5949821719
688	0.594854139
689	0.5947280291
690	0.5945013674
691	0.5943825027
692	0.594265587
693	0.5941183184
694	0.5939561021
695	0.5938788928
696	0.5937392679
697	0.5936391665
698	0.5935825253
699	0.5934886589
700	0.5933293199
701	0.5932587904
702	0.5931289035
703	0.5930103073
704	0.5929188529
705	0.59284018
706	0.5927382795
707	0.5926697554
708	0.592550092
709	0.5924462889
710	0.5923168399
711	0.5922222989
712	0.5920568283
713	0.5919303571
714	0.5918763044
715	0.5917882654
716	0.5916743954
717	0.5914817969
718	0.5914376411
719	0.5912984136
720	0.5912487025
721	0.5911340189
722	0.5910760275
723	0.5909927063
724	0.5908594974
725	0.5907788434
726	0.5906730359
727	0.5905533634
728	0.5904416825
729	0.5903407491
730	0.5902619502
731	0.5900480667
732	0.5899470541
733	0.5899166872
734	0.5897978793
735	0.5897103773
736	0.5895938261
737	0.5894381828
738	0.5893104363
739	0.5892200202
740	0.5890757636
741	0.5889876347
742	0.588881261
743	0.5888246631
744	0.5886946792
745	0.5885767479
746	0.5884592172
747	0.5883456211
748	0.5883070762
749	0.5881673672
750	0.5879522826
751	0.5878428791
752	0.5876924257
753	0.5875798004
754	0.5874831929
755	0.5873617568
756	0.5872531732
757	0.5870974386
758	0.586996232
759	0.5868014635
760	0.5866605418
761	0.5865897106
762	0.5865376249
763	0.5863972037
764	0.5863194819
765	0.5862001652
766	0.5860971519
767	0.5860163843
768	0.5859141283
769	0.5858165161
770	0.5856604627
771	0.5855606563
772	0.5853843905
773	0.5852970787
774	0.5852212499
775	0.5850864141
776	0.585004051
777	0.5848578755
778	0.5847952559
779	0.5847776859
780	0.5847060866
781	0.5846348665
782	0.5845467813
783	0.5844405334
784	0.5843454994
785	0.5841920314
786	0.5841115066
787	0.5840124156
788	0.5838946987
789	0.5837740248
790	0.5836878534
791	0.5836401991
792	0.5835085478
793	0.5833991433
794	0.5831931062
795	0.5830593824
796	0.5829399452
797	0.5828025609
798	0.5827398117
799	0.5826572293
800	0.5825849599
801	0.5824735307
802	0.5824177501
803	0.5823789809
804	0.5822901049
805	0.5821595977
806	0.5819583246
807	0.5818454522
808	0.581737292
809	0.5816225367
810	0.5814679936
811	0.5813350215
812	0.5812212687
813	0.5810448895
814	0.5809360257
815	0.5808180393
816	0.5807083953
817	0.5805963412
818	0.5805188434
819	0.5804492614
820	0.5803958719
821	0.5802816787
822	0.5801497913
823	0.5800009219
824	0.5798988377
825	0.5798344152
826	0.5798063545
827	0.5796834708
828	0.579561645
829	0.5794812495
830	0.5793608847
831	0.579292591
832	0.5792006597
833	0.5790535916
834	0.5789240732
835	0.578815537
836	0.5787578013
837	0.5786710248
838	0.5784977477
839	0.5784432145
840	0.5783410771
841	0.5781979348
842	0.5780263813
843	0.5778987954
844	0.5778113666
845	0.5777075011
846	0.5776074985
847	0.5775336036
848	0.5773514817
849	0.577247285
850	0.577168558
851	0.5770637352
852	0.5770254775
853	0.5769481246
854	0.576792732
855	0.576644954
856	0.5764853054
857	0.5764195434
858	0.5763229778
859	0.5762234884
860	0.5760956345
861	0.5759955977
862	0.5758073027
863	0.5757029782
864	0.5756382308
865	0.5755478822
866	0.5754469855
867	0.5752525435
868	0.5751623946
869	0.5750925939
870	0.5749974552
871	0.5749445911
872	0.5748712029
873	0.5747765983
874	0.5746036419
875	0.5744584562
876	0.5743221887
877	0.5741835062
878	0.5741248803
879	0.5739614492
880	0.5738594116
881	0.5737761351
882	0.5736572111
883	0.5735638052
884	0.5734978651
885	0.5734172248
886	0.5732446623
887	0.5731975598
888	0.5731218793
889	0.5729914724
890	0.5728995507
891	0.5728210109
892	0.5727442154
893	0.5726716486
894	0.5726074315
895	0.5724615795
896	0.5723841506
897	0.5723156964
898	0.5722281077
899	0.5721126704
900	0.5720170212
901	0.5719236911
902	0.5718279588
903	0.5717514272
904	0.5716875119
905	0.5715701797
906	0.5714068854
907	0.5712852146
908	0.571177921
909	0.571118168
910	0.5710271648
911	0.5709287096
912	0.5708332325
913	0.5707786035
914	0.570670755
915	0.5705755325
916	0.5705353309
917	0.5704757393
918	0.5704190669
919	0.5703604873
920	0.5702618455
921	0.5701372602
922	0.5700923209
923	0.5700121745
924	0.5699385352
925	0.5698493847
926	0.5697926037
927	0.5696014543
928	0.5695136523
929	0.5693856746
930	0.5693128207
931	0.5692316972
932	0.5691749565
933	0.5690502185
934	0.5689197483
935	0.5688437103
936	0.5687795511
937	0.5686506229
938	0.5685023851
939	0.5684260898
940	0.5683451334
941	0.5682036361
942	0.5681093766
943	0.5680411884
944	0.5679875156
945	0.5679088513
946	0.5678498855
947	0.5676764848
948	0.5675838119
949	0.5673967296
950	0.5673036365
951	0.5672319393
952	0.5671287317
953	0.5670679703
954	0.566976262
955	0.5669081641
956	0.5668078645
957	0.5667395498
958	0.5667008423
959	0.5665832494
960	0.5665285825
961	0.5663705005
962	0.5663097089
963	0.5662033655
964	0.5661127952
965	0.5659615278
966	0.5658981197
967	0.5658013141
968	0.5657101703
969	0.5655869043
970	0.5655121862
971	0.5653539382
972	0.5651426476
973	0.5650113626
974	0.5649427253
975	0.5648670693
976	0.5648177819
977	0.5645860772
978	0.5644327213
979	0.5643244352
980	0.5642672136
981	0.5642166617
982	0.5641265885
983	0.564027429
984	0.5639388439
985	0.5638446565
986	0.5637504003
987	0.563583757
988	0.5635328222
989	0.5634641365
990	0.5633450513
991	0.5632698969
992	0.5631523683
993	0.5630970675
994	0.5630274501
995	0.5629641635
996	0.5628607051
997	0.5628137613
998	0.5627198629
999	0.5626408801
